sigma_deg,draw,min_gap_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
27.5,2,29.16,1.0,1.0,6.993248302489519,600.0,0.19355125564014608
27.5,3,2.72,0.0,1.0,6.329922027885914,600.0,0.5669169352205746
27.5,4,26.79,1.0,1.0,6.828900131396949,600.0,0.35128386049344607
27.5,5,23.64,0.0,1.0,6.395525075495243,600.0,0.5388134627639344
27.5,6,10.65,0.0,1.0,6.47247270308435,600.0,0.551099574436159
27.5,7,6.79,0.0,1.0,6.023528065532446,600.0,0.8865561691866825
30.0,0,24.18,0.0,1.0,6.523261439055204,600.0,0.5847390370342301
30.0,1,28.99,1.0,1.0,7.225758779793978,600.0,0.10141308605602069
30.0,2,31.08,1.0,1.0,7.012240172363818,600.0,0.18384113552412168
30.0,3,0.92,0.0,1.0,6.004777156747878,600.0,0.7338065965647577
30.0,4,23.77,1.0,1.0,6.768161136657,600.0,0.3902926851136303
30.0,5,20.34,0.0,1.0,6.297965198755264,600.0,0.6068773550453201
30.0,6,6.16,0.0,1.0,6.3720961678773165,600.0,0.590557203095285
30.0,7,1.96,0.0,1.0,5.97641862090677,600.0,0.9563182261242889
