arm,offset_deg,max_pitch_deg,success_rate,survival_rate,mean_reward,mean_steps_alive,mean_final_drift
5,-2.5,2.5,1.0,1.0,7.192723125219345,600.0,0.1398621864067781
5,0.0,0.0,1.0,1.0,7.193688476458192,600.0,0.13798916530077668
5,2.5,2.5,1.0,1.0,7.192723402753472,600.0,0.13986200168582313
5,5.0,5.0,1.0,1.0,7.18899339530617,600.0,0.14699502696816294
5,7.5,7.5,1.0,1.0,7.180106190033257,600.0,0.16322597608997616
5,10.0,10.0,1.0,1.0,7.163402843289077,600.0,0.19270694273909358
5,12.5,12.5,1.0,1.0,7.137374150566757,600.0,0.23792301713037062
5,15.0,15.0,1.0,1.0,7.101622493937612,600.0,0.29950029140142526
5,17.5,17.5,1.0,1.0,7.056636134162545,600.0,0.37718789063432134
5,20.0,20.0,1.0,1.0,7.0032184440642595,600.0,0.47065493872947345
5,22.5,22.5,0.0,1.0,6.942187391221523,600.0,0.5797712034510547
5,25.0,25.0,0.0,1.0,6.874273552559316,600.0,0.7046532913930039
5,27.5,27.5,0.0,1.0,6.800126889720559,600.0,0.8456382932487772
5,30.0,30.0,0.0,1.0,6.720354926772416,600.0,1.0032586985490517
5,32.5,32.5,0.0,1.0,6.635528790764511,600.0,1.1782237201196042
5,35.0,35.0,0.0,1.0,6.546188970096409,600.0,1.3714277068709155
5,37.5,37.5,0.0,1.0,6.452860570512712,600.0,1.5839385243526605
5,40.0,40.0,0.0,1.0,6.356043038889766,600.0,1.8170309880468243
5,42.5,42.5,0.0,1.0,6.256227917037904,600.0,2.072181037960277
5,45.0,45.0,0.0,1.0,6.153884130995721,600.0,2.3511045394077037
